Teams,Site code,Easting GDA94,Southing GDA94,Road prox m,Vis Turbidity,pH,EC ms,EC us,TDS ppt,TDS ppm,Temperature,TSS ( on filter),microplastics ( week 13),microplastics ( week 13),NU Total phosphorus mg/L,NU Total nitrogen mg/L,NF Total phosphorus mg/L,NF Total nitrogen mg/L,NFB Total phosphorus mg/L,NFB Total nitrogen mg/L,Soil/sed Li mg/kg,Soil/sed Na mg/kg, Soil/sed Mg mg/kg,Soil/sed Al mg/kg,Soil/sed K mg/kg,Soil/sed Ca mg/kg,Soil/sed Cr mg/kg,Soil/sed Mn mg/kg,Soil/sed Fe mg/kg,Soil/sed Co mg/kg,Soil/sed Ni mg/kg,Soil/sed Cu mg/kg,Soil/sed Zn mg/kg,Soil/sed As mg/kg,Soil/sed Rb mg/kg,Soil/sed Sr mg/kg,Soil/sed Ag mg/kg,Soil/sed Cd mg/kg,Soil/sed Ba mg/kg,Soil/sed Tl mg/kg,Soil/sed Pb mg/kg,Soil/sed U mg/kg,Water Li mg/L,Water Na mg/L,Water Mg mg/L,Water Al mg/L,Water K mg/L,Water Ca mg/L,Cr mg/L,Water Mn mg/L,Water Fe mg/L,Water Co mg/L,Water Ni mg/L,Water Cu mg/L,Water Zn mg/L,Water As mg/L,Water Rb mg/L,Water Sr mg/L,Water Ag mg/L,Water Cd mg/L,Water Ba mg/L,Water Tl mg/L,Water Pb mg/L,Water U mg/L,Genetic Diversity (shannon),Species Richness
Team 5,ETT24.04,721629,6058591,5,5,7.17,0.1,102,50,0.05,23.5,0.098,,,0.0315,BDL,0.01965,0.27,0.00803,0.07095,,,,,,,,,,,,,,,,,,,,,,,0.001,4.703,7.529,0.275,0.427,15.167,0.003,0.34,1.85,0.003,0.004,0.007,2.2,0,0.001,0.033,0.001,0.00101,0.018,0.00007,0.0063,0.0001,1.143853,5
Team 5,ETT24.05,701333,6059114,10,5,6.95,0.1,102,95,0.1,22.8,0.101,,,0.0269,0.153,0.0912,0.0862,0.0119,0.064844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Team 6,ETT24.06,716565,6081001,10,55,7.38,0.21,209,104,0.1,21.7,0,,,0.0571,0.469,0.0297,0.526607,0.0122,0.14792,1.627,102.031,1706.522,4940.76,670.129,2335.971,11.46,456.64,14886.405,8.759,9.461,36.848,884.487,5.582,10.525,12.517,0.166,1.90077,66.058,0.01202,100.2652,1.2808,0.003,5.728667,4.560667,1.098667,0.887333,40.298667,0.004333,0.068333,0.329333,0.003333,0.007,0.051333,0.720667,0.000333,0.001667,0.100333,0.001,0.00017,0.036,0.000073,0.0092,0.000153,1.388297,7
Team 6,ETT24.07,713807,6083936,2,34,7.66,0.29,292,101,0.1,26.8,-0.02,,,0.058,0.577,0.03195,0.52288,0.0138,0.25714,1.935,99.314,3011.941,7613.252,1445.856,2063.012,16.277,473.745,19282.376,10.347,12.888,30.712,580.167,5.56,20.677,13.659,0.166,1.37392,78.972,0.04875,92.5623,1.18999,0.001,11.111,6.872,0.23,1.871,17.311,0.004,0.104,0.569,0.005,0.003,0.033,0.682,0,0.002,0.052,0.001,0.00011,0.025,0.00008,0.0064,0.00011,1.498028,8
Team 6,ETT24.08,710466,6086850,50,17.5,7.45,0.26,258,128,0.13,20,-0.02,,,0.0306,0.308,0.02175,0.32508,0.00892,0.15824,1.948,87.044,3207.775,7038.891,960.583,1874.935,15.603,403.217,18546.52,8.677,14.055,19.721,233.923,3.716,8.769,10.709,0.065,0.51675,55.008,0.00224,23.3722,0.97533,0.006,6.5315,5.706,3.1515,0.9285,63.408,0.0045,0.0425,0.166,0.006,0.0105,0.0415,0.628,0,0.002,0.1535,0.001,0.000165,0.049,0.000075,0.00855,0.000185,0.494759,4
Team 6,ETT24.09,703884,6087802,20,16,7.78,0.29,288,144,0.14,26.8,-0.01,,,0.0338,0.356,0.019767,0.335687,0.0122,0.14018,2.095,61.645,2732.598,7308.369,1011.967,2714.513,17.102,229.697,20637.185,6.674,12.188,22.336,367.668,4.517,11.546,12.105,0.101,0.449,83.222,0.01123,40.4527,1.21904,0.001,16.368,13.068,1.822,1.585,40.044,0.005,0.035,0.096,0.004,0.006,0.026,0.628,0,0.002,0.129,0.001,0.0001,0.037,0.00008,0.0042,0.0003,0.676171,2
Team 6,ETT24.10,701937,6087936,20,5,7.98,0.2,204,103,0.1,27.8,-0.01,,,0.0338,0.501,0.022633,0.45064,0.0122,0.1376,2.495,58.767,3410.757,7035.327,970.808,2054.739,15.854,449.876,18442.397,8.607,13.35,20.037,509.746,4.17,13.977,14.645,0.121,0.63573,60.773,0.02586,38.1995,1.58393,0.001,5.0275,3.3795,2.685,0.557,23.5365,0.0045,0.01,0.0775,0.002,0.0045,0.01,0.3195,0.0005,0.001,0.0575,0.001,0.000105,0.015,0.00008,0.0021,0.00019,1.652842,9
Team 7,ETT24.11,696392,6088085,10,20,7.83,0.41,410,204,0.2,27.2,-0.003,,,0.0586,1.14,0.0469,1.0062,0.012,0.077916,1.926,54.154,1398.141,4708.968,1152.397,2975.568,7.641,388.049,9163.379,4.554,4.245,7.294,63.855,2.246,13.567,21.194,0.061,0.05309,69.138,0.01634,19.9687,1.61931,0.0005,15.2975,6.298,0.1785,2.043,17.43,0.0015,0.096,0.063,0,0.001,0.0115,0.0035,0.0005,0.001,0.1,0.0005,0.00006,0.0285,0.000045,0.00025,0.00107,0.897404,8
Team 7,ETT24.12,698270,6089467,300,5,7.7,0.19,189,95,0.1,25.8,-0.007,,,0.0548,0.759,0.0279,0.609453,0.0118,0.068886,3.385,79.232,3016.809,6311.875,1597.415,1604.626,13.669,302.819,14587.533,6.995,10.066,11.929,213.135,3.715,24.842,10.618,0.094,0.37913,49.198,0.05204,20.498,1.19192,0,12.297,7.627,0.185,2.237,13.059,0,0.042,0.299,0,0.001,0.002,0.013,0.001,0.002,0.063,0,0.00002,0.013,0.00001,0.0004,0.00023,,
Team 7,ETT24.13,698612,6091956,0,12,7.72,0.62,619,310,0.31,23.2,-0.007,,,0.0384,0.716,0.0251,0.73788,0.0124,0.0903,1.771,70.512,1398.237,4772.104,995.696,2132.977,10.699,531.002,11852.467,8.024,5.583,9.266,27.498,3.853,11.752,15.959,0.086,0.04307,86.988,0.01436,17.2775,1.2994,0.0005,17.6765,15.006,0.1415,1.246,23.65,0.001,0.031,0.0745,0,0.001,0.002,0.004,0.0005,0.0005,0.141,0.0005,0.00006,0.0235,0.000045,0.00005,0.0006,1.51867,5
Team 7,ETT24.14,697048,6090969,100,5,7.68,0.23,225,113,0.11,26.6,0.053,,,0.0443,0.629,0.0253,0.602,0.0106,0.068284,1.813,91.757,1714.744,3374.496,815.224,975.746,9.15,164.086,10238.322,4.782,6.019,7.595,46.894,3.051,9.039,5.757,0.057,0.07143,29.979,0.0063,8.28,1.0505,0.0005,6.916,4.238,0.067,1.2215,8.2455,0.001,0.026,0.153,0,0.0005,0.019,0.0245,0.0005,0.001,0.039,0.0005,0.00006,0.008,0.00005,0.0004,0.000165,0.975959,6
Team 7,ETT24.15,693667,6092659,48,12,8.16,0.14,236,116,0.12,26.8,-0.04,,,0.0379,0.63,0.0452,0.7955,0.0136,0.19522,,,,,,,,,,,,,,,,,,,,,,,0,13.9225,8.232,0.0975,2.687,15.051,0.001,0.021,0.3165,0,0.001,0.003,0,0.001,0.002,0.0785,0,0.00002,0.0145,0.00008,0.00075,0.000355,1.120901,6
Team 7,ETT24.16,693305,6094512,50,5,8.85,0.5,495,246,0.25,27.3,0.051,,,0.0484,0.663,0.0222,0.5203,0.0116,0.073702,2.619,89.326,1948.132,6202.731,845.906,4192.861,20.63,455.56,15936.104,7.089,11.263,36.413,399.602,5.763,14.41,18.853,0.191,0.33493,102.358,0.00277,106.6843,1.05184,0,29.361,10.434,0.074,2.536,42.772,0.001,0.044,0.202,0,0.001,0.003,0,0,0.003,0.15,0,0.00002,0.058,0.00001,0.0003,0.00066,1.013293,5
Team 8,ETT24.17,692651,6091591,15,5,8.24,0.19,186,101,0.1,28,0.331,,,0.0408,0.632,0.027133,0.5203,0.012,0.06192,1.719,323.922,3450.193,4663.373,925.559,4492.506,11.36,368.004,13129.907,6.716,9.051,6.953,263.941,3.199,11.757,38.936,0.044,0.22914,57.681,0.00881,16.1102,0.70504,0.001,14.174667,8.302,0.291333,2.477333,13.261,0.001667,0.011333,0.209667,0,0.001667,0.003,0.002,0,0.002,0.076667,0.001,0.0001,0.014667,0.00008,0.0006,0.000333,1.279542,7
Team 8,ETT24.18,690485,6093067,10,5,8.24,0.2,204,101,0.1,27.5,0.345,,,0.0401,0.651,0.0266,0.52804,0.0114,0.062178,5.037,283.809,4898.123,10598.807,1971.236,2912.226,22.818,500.139,21546.909,8.518,11.737,10.533,38.256,4.434,36.044,29.354,0.088,0.09854,73.971,0.01095,69.1101,1.21534,0.001,7.3495,4.0845,0.38,1.278,6.414,0.003,0.004,0.14,0,0.0015,0.002,0.002,0,0.001,0.037,0.001,0.0001,0.008,0.00008,0.00035,0.00019,1.425111,10
Team 8,ETT24.19,688360,6091617,100,5,7.95,0.11,107,214,0.21,27.2,0.364,,,0.0592,0.805,0.0419,0.68198,0.0108,0.064242,3.354,318.186,2996.986,7275.107,889.419,2948.757,17.096,1511.153,20324.757,10.054,12.9,35.199,252.131,6.607,15.118,21.421,0.111,0.16634,121.584,0.00924,52.9509,1.21057,0.001,6.979,4.096,0.209,1.252,6.6725,0.001,0.092,0.188,0,0.001,0.001,0.002,0,0.001,0.037,0.001,0.0001,0.0045,0.00008,0.00035,0.00014,1.20792,4
Team 8,ETT24.20,,,,,,,,,,,0.359,,,0.0531,0.737,0.0411,0.66564,0.0107,0.062694,4.651,128.994,4149.626,9397.8705,1293.1665,3058.9315,21.029,758.0745,21803.883,12.1615,13.364,22.8655,260.173,5.685,21.741,26.812,0.496,0.3826,111.399,0.01034,50.7128,3.21066,0.001,14.519,8.36,0.466,2.623,13.787,0.003,0.068,0.346,0,0.002,0.004,0.002,0,0.002,0.077,0.001,0.0001,0.015,0.00008,0.0007,0.00035,1.909552,9
Team 8,ETT24.21,685491,6093228,10,10,8.19,0.11,105,211,0.21,23.8,0.345,,,0.0496,0.744,0.0336,0.645,0.00936,0.067854,,,,,,,,,,,,,,,,,,,,,,,0.001,13.889,8.24,0.123,2.431,13.788,0.003,0.017,0.281,0,0.002,0.001,0.002,0,0.002,0.076,0.001,0.0001,0.019,0.00008,0.0006,0.0003,1.508133,7
Team 8,ETT24.22,678441,6097937,250,5,8.54,0.28,284,142,0.14,26.7,0.342,,,0.0452,2.16,0.0374,BDL,0.0372,BDL,8.199,148.264,5514.211,14061.653,1561.402,5279.142,30.005,1708.942,33321.275,19.654,19.179,29.933,449.522,10.041,31.347,33.011,0.535,0.54662,176.165,0.01188,60.6508,3.77879,0.001,9.6015,4.1545,0.3745,2.3935,10.9545,0.002,0.0035,0.149,0,0.0015,0.0035,0.002,0,0.002,0.04,0.001,0.0001,0.0115,0.00008,0.00035,0.00019,1.889716,12
